"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060009","BP","GO:0060009","Sertoli cell development","1/117","13/18800",0.0779750992048187,0.317593269106352,0.269662371493143,"SDC1",1
"GO:0071415","BP","GO:0071415","cellular response to purine-containing compound","1/117","13/18800",0.0779750992048187,0.317593269106352,0.269662371493143,"CHEK1",1
"GO:0072710","BP","GO:0072710","response to hydroxyurea","1/117","13/18800",0.0779750992048187,0.317593269106352,0.269662371493143,"RAD51",1
"GO:1900103","BP","GO:1900103","positive regulation of endoplasmic reticulum unfolded protein response","1/117","13/18800",0.0779750992048187,0.317593269106352,0.269662371493143,"XBP1",1
"GO:1904995","BP","GO:1904995","negative regulation of leukocyte adhesion to vascular endothelial cell","1/117","13/18800",0.0779750992048187,0.317593269106352,0.269662371493143,"CCL25",1
"GO:2000045","BP","GO:2000045","regulation of G1/S transition of mitotic cell cycle","3/117","160/18800",0.0781536536176582,0.317617828499136,0.26968322440391,"CDC6/GTSE1/RRM2",3
"GO:0051098","BP","GO:0051098","regulation of binding","5/117","366/18800",0.0786016217280482,0.318734770046997,0.270631598113034,"AURKB/CAV1/HJURP/IGF1/NEK2",5
"GO:0071479","BP","GO:0071479","cellular response to ionizing radiation","2/117","75/18800",0.0794896497425105,0.321627352035081,0.273087634164553,"RAD51/RAD51AP1",2
"GO:2001233","BP","GO:2001233","regulation of apoptotic signaling pathway","5/117","370/18800",0.0814575093942657,0.326532567041201,0.277252558424303,"CAV1/HERPUD1/IGF1/ITM2C/XBP1",5
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation","5/117","371/18800",0.0821800974648479,0.326532567041201,0.277252558424303,"CAV1/CD38/IGF1/IGLL5/XBP1",5
"GO:0043154","BP","GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process","2/117","77/18800",0.0831572852143169,0.326532567041201,0.277252558424303,"BIRC5/DHCR24",2
"GO:0002903","BP","GO:0002903","negative regulation of B cell apoptotic process","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"AURKB",1
"GO:0009071","BP","GO:0009071","serine family amino acid catabolic process","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"GLDC",1
"GO:0010457","BP","GO:0010457","centriole-centriole cohesion","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"NEK2",1
"GO:0034392","BP","GO:0034392","negative regulation of smooth muscle cell apoptotic process","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"IGF1",1
"GO:0035630","BP","GO:0035630","bone mineralization involved in bone maturation","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"IGF1",1
"GO:0038166","BP","GO:0038166","angiotensin-activated signaling pathway","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"CAV1",1
"GO:0042117","BP","GO:0042117","monocyte activation","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"SPACA3",1
"GO:0045579","BP","GO:0045579","positive regulation of B cell differentiation","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"XBP1",1
"GO:0055012","BP","GO:0055012","ventricular cardiac muscle cell differentiation","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"CDK1",1
"GO:0060576","BP","GO:0060576","intestinal epithelial cell development","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"TYMS",1
"GO:0061043","BP","GO:0061043","regulation of vascular wound healing","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"XBP1",1
"GO:0090128","BP","GO:0090128","regulation of synapse maturation","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"CDC20",1
"GO:1904152","BP","GO:1904152","regulation of retrograde protein transport, ER to cytosol","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"DERL3",1
"GO:2000105","BP","GO:2000105","positive regulation of DNA-templated DNA replication","1/117","14/18800",0.0837172034999712,0.326532567041201,0.277252558424303,"E2F8",1
"GO:0051100","BP","GO:0051100","negative regulation of binding","3/117","165/18800",0.0839172020635654,0.326620653274892,0.277327350760865,"AURKB/CAV1/NEK2",3
"GO:0006513","BP","GO:0006513","protein monoubiquitination","2/117","78/18800",0.0850103610943963,0.328790073056268,0.279169363611629,"DTL/UBE2T",2
"GO:0008088","BP","GO:0008088","axo-dendritic transport","2/117","78/18800",0.0850103610943963,0.328790073056268,0.279169363611629,"KIF4A/UCHL1",2
"GO:0009123","BP","GO:0009123","nucleoside monophosphate metabolic process","2/117","78/18800",0.0850103610943963,0.328790073056268,0.279169363611629,"TK1/TYMS",2
"GO:0022900","BP","GO:0022900","electron transport chain","3/117","167/18800",0.0862725787617891,0.32991845771939,0.280127453451096,"CCNB1/CDK1/GLDC",3
"GO:1901652","BP","GO:1901652","response to peptide","6/117","491/18800",0.0863020212841769,0.32991845771939,0.280127453451096,"CAV1/CCNA2/CDC6/IGF1/MZB1/XBP1",6
"GO:0002200","BP","GO:0002200","somatic diversification of immune receptors","2/117","80/18800",0.0887538950141893,0.32991845771939,0.280127453451096,"EXO1/POLQ",2
"GO:0000722","BP","GO:0000722","telomere maintenance via recombination","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"RAD51",1
"GO:0001325","BP","GO:0001325","formation of extrachromosomal circular DNA","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"EXO1",1
"GO:0002070","BP","GO:0002070","epithelial cell maturation","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"TYMS",1
"GO:0006206","BP","GO:0006206","pyrimidine nucleobase metabolic process","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"TYMS",1
"GO:0010649","BP","GO:0010649","regulation of cell communication by electrical coupling","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"CAV1",1
"GO:0042074","BP","GO:0042074","cell migration involved in gastrulation","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"MIXL1",1
"GO:0045346","BP","GO:0045346","regulation of MHC class II biosynthetic process","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"XBP1",1
"GO:0045725","BP","GO:0045725","positive regulation of glycogen biosynthetic process","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"IGF1",1
"GO:0048308","BP","GO:0048308","organelle inheritance","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"CDK1",1
"GO:0048311","BP","GO:0048311","mitochondrion distribution","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"BHLHA15",1
"GO:0048313","BP","GO:0048313","Golgi inheritance","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"CDK1",1
"GO:0051290","BP","GO:0051290","protein heterotetramerization","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"RRM2",1
"GO:0070316","BP","GO:0070316","regulation of G0 to G1 transition","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"CHEK1",1
"GO:0070365","BP","GO:0070365","hepatocyte differentiation","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"E2F8",1
"GO:0090656","BP","GO:0090656","t-circle formation","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"EXO1",1
"GO:0090737","BP","GO:0090737","telomere maintenance via telomere trimming","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"EXO1",1
"GO:1903543","BP","GO:1903543","positive regulation of exosomal secretion","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"SDC1",1
"GO:1905288","BP","GO:1905288","vascular associated smooth muscle cell apoptotic process","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"IGF1",1
"GO:1905459","BP","GO:1905459","regulation of vascular associated smooth muscle cell apoptotic process","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"IGF1",1
"GO:2000345","BP","GO:2000345","regulation of hepatocyte proliferation","1/117","15/18800",0.0894238513861898,0.32991845771939,0.280127453451096,"XBP1",1
"GO:0006354","BP","GO:0006354","DNA-templated transcription, elongation","2/117","81/18800",0.090643906246101,0.332421178085801,0.282252465454938,"EAF2/ELL2",2
"GO:0045445","BP","GO:0045445","myoblast differentiation","2/117","81/18800",0.090643906246101,0.332421178085801,0.282252465454938,"IGF1/SDC1",2
"GO:0055013","BP","GO:0055013","cardiac muscle cell development","2/117","81/18800",0.090643906246101,0.332421178085801,0.282252465454938,"CDK1/IGF1",2
"GO:2001242","BP","GO:2001242","regulation of intrinsic apoptotic signaling pathway","3/117","171/18800",0.0910670087331277,0.333308872917869,0.283006190161546,"CAV1/HERPUD1/XBP1",3
"GO:0042310","BP","GO:0042310","vasoconstriction","2/117","82/18800",0.0925457862114018,0.336673795231882,0.285863281351294,"CAV1/CD38",2
"GO:0072527","BP","GO:0072527","pyrimidine-containing compound metabolic process","2/117","82/18800",0.0925457862114018,0.336673795231882,0.285863281351294,"TK1/TYMS",2
"GO:0055088","BP","GO:0055088","lipid homeostasis","3/117","173/18800",0.0935053346402068,0.336673795231882,0.285863281351294,"ACOXL/CAV1/XBP1",3
"GO:0042509","BP","GO:0042509","regulation of tyrosine phosphorylation of STAT protein","2/117","83/18800",0.0944593171135559,0.336673795231882,0.285863281351294,"CAV1/IGF1",2
"GO:0006544","BP","GO:0006544","glycine metabolic process","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"GLDC",1
"GO:0006750","BP","GO:0006750","glutathione biosynthetic process","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"CHAC1",1
"GO:0009130","BP","GO:0009130","pyrimidine nucleoside monophosphate biosynthetic process","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"TYMS",1
"GO:0009200","BP","GO:0009200","deoxyribonucleoside triphosphate metabolic process","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"TYMS",1
"GO:0042532","BP","GO:0042532","negative regulation of tyrosine phosphorylation of STAT protein","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"CAV1",1
"GO:0042795","BP","GO:0042795","snRNA transcription by RNA polymerase II","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"ELL2",1
"GO:0045342","BP","GO:0045342","MHC class II biosynthetic process","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"XBP1",1
"GO:0045779","BP","GO:0045779","negative regulation of bone resorption","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"CD38",1
"GO:0045836","BP","GO:0045836","positive regulation of meiotic nuclear division","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"RAD51AP1",1
"GO:0070875","BP","GO:0070875","positive regulation of glycogen metabolic process","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"IGF1",1
"GO:0070886","BP","GO:0070886","positive regulation of calcineurin-NFAT signaling cascade","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"IGF1",1
"GO:0106058","BP","GO:0106058","positive regulation of calcineurin-mediated signaling","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"IGF1",1
"GO:1903236","BP","GO:1903236","regulation of leukocyte tethering or rolling","1/117","16/18800",0.0950952599242687,0.336673795231882,0.285863281351294,"CCL25",1
"GO:2000117","BP","GO:2000117","negative regulation of cysteine-type endopeptidase activity","2/117","85/18800",0.0983204715683366,0.343420292931401,0.291591603535339,"BIRC5/DHCR24",2
"GO:0042176","BP","GO:0042176","regulation of protein catabolic process","5/117","395/18800",0.10053958369664,0.343420292931401,0.291591603535339,"CAV1/CDC20/DTL/HERPUD1/PBK",5
"GO:0000712","BP","GO:0000712","resolution of meiotic recombination intermediates","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"TOP2A",1
"GO:0006978","BP","GO:0006978","DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"FOXM1",1
"GO:0009084","BP","GO:0009084","glutamine family amino acid biosynthetic process","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"PYCR1",1
"GO:0016264","BP","GO:0016264","gap junction assembly","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CAV1",1
"GO:0033189","BP","GO:0033189","response to vitamin A","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"TYMS",1
"GO:0033194","BP","GO:0033194","response to hydroperoxide","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CD38",1
"GO:0045019","BP","GO:0045019","negative regulation of nitric oxide biosynthetic process","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CAV1",1
"GO:0055089","BP","GO:0055089","fatty acid homeostasis","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"XBP1",1
"GO:0071732","BP","GO:0071732","cellular response to nitric oxide","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CCNA2",1
"GO:0086103","BP","GO:0086103","G protein-coupled receptor signaling pathway involved in heart process","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CAV1",1
"GO:0090231","BP","GO:0090231","regulation of spindle checkpoint","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CCNB1",1
"GO:0090266","BP","GO:0090266","regulation of mitotic cell cycle spindle assembly checkpoint","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CCNB1",1
"GO:0090399","BP","GO:0090399","replicative senescence","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CHEK1",1
"GO:1901569","BP","GO:1901569","fatty acid derivative catabolic process","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"OXCT2",1
"GO:1903504","BP","GO:1903504","regulation of mitotic spindle checkpoint","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CCNB1",1
"GO:1903541","BP","GO:1903541","regulation of exosomal secretion","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"SDC1",1
"GO:1904406","BP","GO:1904406","negative regulation of nitric oxide metabolic process","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CAV1",1
"GO:2000811","BP","GO:2000811","negative regulation of anoikis","1/117","17/18800",0.100731644857662,0.343420292931401,0.291591603535339,"CAV1",1
"GO:0001892","BP","GO:0001892","embryonic placenta development","2/117","87/18800",0.102225671082082,0.344646935144667,0.292633121981664,"E2F8/PLK4",2
"GO:0007260","BP","GO:0007260","tyrosine phosphorylation of STAT protein","2/117","87/18800",0.102225671082082,0.344646935144667,0.292633121981664,"CAV1/IGF1",2
"GO:0055006","BP","GO:0055006","cardiac cell development","2/117","87/18800",0.102225671082082,0.344646935144667,0.292633121981664,"CDK1/IGF1",2
"GO:0055017","BP","GO:0055017","cardiac muscle tissue growth","2/117","87/18800",0.102225671082082,0.344646935144667,0.292633121981664,"CDK1/IGF1",2
"GO:0001666","BP","GO:0001666","response to hypoxia","4/117","286/18800",0.103400118264246,0.344646935144667,0.292633121981664,"CAV1/CCNA2/CD38/HSP90B1",4
"GO:0031110","BP","GO:0031110","regulation of microtubule polymerization or depolymerization","2/117","88/18800",0.10419426638326,0.344646935144667,0.292633121981664,"SKA1/TPX2",2
"GO:0051262","BP","GO:0051262","protein tetramerization","2/117","88/18800",0.10419426638326,0.344646935144667,0.292633121981664,"RRM2/TK1",2
"GO:0048469","BP","GO:0048469","cell maturation","3/117","183/18800",0.106093217510373,0.344646935144667,0.292633121981664,"BHLHA15/TRIP13/TYMS",3
"GO:0007589","BP","GO:0007589","body fluid secretion","2/117","89/18800",0.106173251581651,0.344646935144667,0.292633121981664,"CAV1/XBP1",2
"GO:0051781","BP","GO:0051781","positive regulation of cell division","2/117","89/18800",0.106173251581651,0.344646935144667,0.292633121981664,"AURKB/CDC6",2
"GO:2001252","BP","GO:2001252","positive regulation of chromosome organization","2/117","89/18800",0.106173251581651,0.344646935144667,0.292633121981664,"AURKB/NEK2",2
"GO:0006851","BP","GO:0006851","mitochondrial calcium ion transmembrane transport","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"BHLHA15",1
"GO:0006977","BP","GO:0006977","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"GTSE1",1
"GO:0008340","BP","GO:0008340","determination of adult lifespan","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"RAD54L",1
"GO:0019184","BP","GO:0019184","nonribosomal peptide biosynthetic process","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"CHAC1",1
"GO:0019896","BP","GO:0019896","axonal transport of mitochondrion","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"UCHL1",1
"GO:0030889","BP","GO:0030889","negative regulation of B cell proliferation","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"TNFRSF13B",1
"GO:0032769","BP","GO:0032769","negative regulation of monooxygenase activity","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"CAV1",1
"GO:0034138","BP","GO:0034138","toll-like receptor 3 signaling pathway","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"CAV1",1
"GO:0042772","BP","GO:0042772","DNA damage response, signal transduction resulting in transcription","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"FOXM1",1
"GO:0044320","BP","GO:0044320","cellular response to leptin stimulus","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"CCNA2",1
"GO:0045023","BP","GO:0045023","G0 to G1 transition","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"CHEK1",1
"GO:0046851","BP","GO:0046851","negative regulation of bone remodeling","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"CD38",1
"GO:0060008","BP","GO:0060008","Sertoli cell differentiation","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"SDC1",1
"GO:0060263","BP","GO:0060263","regulation of respiratory burst","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"JCHAIN",1
"GO:0071318","BP","GO:0071318","cellular response to ATP","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"HSP90B1",1
"GO:0071360","BP","GO:0071360","cellular response to exogenous dsRNA","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"CAV1",1
"GO:0150079","BP","GO:0150079","negative regulation of neuroinflammatory response","1/117","18/18800",0.106333220620408,0.344646935144667,0.292633121981664,"IGF1",1
"GO:0043434","BP","GO:0043434","response to peptide hormone","5/117","404/18800",0.107916666385581,0.34916446892066,0.296468873522502,"CAV1/CCNA2/CDC6/MZB1/XBP1",5
"GO:0070301","BP","GO:0070301","cellular response to hydrogen peroxide","2/117","90/18800",0.108162423956363,0.349345653515202,0.296622713896952,"CDK1/PYCR1",2
"GO:0035304","BP","GO:0035304","regulation of protein dephosphorylation","2/117","91/18800",0.110161582867779,0.354431051254197,0.300940627869569,"CDCA2/HSP90B1",2
"GO:0007076","BP","GO:0007076","mitotic chromosome condensation","1/117","19/18800",0.111900200345007,0.354431051254197,0.300940627869569,"CDCA5",1
"GO:0009148","BP","GO:0009148","pyrimidine nucleoside triphosphate biosynthetic process","1/117","19/18800",0.111900200345007,0.354431051254197,0.300940627869569,"TYMS",1
"GO:0009301","BP","GO:0009301","snRNA transcription","1/117","19/18800",0.111900200345007,0.354431051254197,0.300940627869569,"ELL2",1
"GO:0032968","BP","GO:0032968","positive regulation of transcription elongation from RNA polymerase II promoter","1/117","19/18800",0.111900200345007,0.354431051254197,0.300940627869569,"ELL2",1
"GO:0045091","BP","GO:0045091","regulation of single stranded viral RNA replication via double stranded DNA intermediate","1/117","19/18800",0.111900200345007,0.354431051254197,0.300940627869569,"TOP2A",1
"GO:0055093","BP","GO:0055093","response to hyperoxia","1/117","19/18800",0.111900200345007,0.354431051254197,0.300940627869569,"CAV1",1
"GO:0060546","BP","GO:0060546","negative regulation of necroptotic process","1/117","19/18800",0.111900200345007,0.354431051254197,0.300940627869569,"CAV1",1
"GO:1902170","BP","GO:1902170","cellular response to reactive nitrogen species","1/117","19/18800",0.111900200345007,0.354431051254197,0.300940627869569,"CCNA2",1
"GO:2000042","BP","GO:2000042","negative regulation of double-strand break repair via homologous recombination","1/117","19/18800",0.111900200345007,0.354431051254197,0.300940627869569,"POLQ",1
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","2/117","92/18800",0.11217052973987,0.354431051254197,0.300940627869569,"CCNB1/CDK1",2
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","2/117","92/18800",0.11217052973987,0.354431051254197,0.300940627869569,"CCNB1/CDK1",2
"GO:0097193","BP","GO:0097193","intrinsic apoptotic signaling pathway","4/117","295/18800",0.112418122380812,0.354431051254197,0.300940627869569,"CAV1/CHAC1/HERPUD1/XBP1",4
"GO:0006575","BP","GO:0006575","cellular modified amino acid metabolic process","3/117","188/18800",0.112624750126945,0.354431051254197,0.300940627869569,"CHAC1/GGH/TYMS",3
"GO:1902806","BP","GO:1902806","regulation of cell cycle G1/S phase transition","3/117","188/18800",0.112624750126945,0.354431051254197,0.300940627869569,"CDC6/GTSE1/RRM2",3
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","4/117","296/18800",0.113441282460828,0.356391469300996,0.302605181344223,"CD38/IGF1/MZB1/TNFRSF13B",4
"GO:0048511","BP","GO:0048511","rhythmic process","4/117","297/18800",0.114468606386241,0.357188544712141,0.303281962833431,"CDK1/DTL/TOP2A/TYMS",4
"GO:1901654","BP","GO:1901654","response to ketone","3/117","190/18800",0.115279806145362,0.357188544712141,0.303281962833431,"CAV1/CD38/TYMS",3
"GO:0045739","BP","GO:0045739","positive regulation of DNA repair","2/117","94/18800",0.116217003274798,0.357188544712141,0.303281962833431,"FOXM1/RAD51AP1",2
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","4/117","299/18800",0.116535669821721,0.357188544712141,0.303281962833431,"CAV1/CCNA2/CD38/HSP90B1",4
"GO:0032211","BP","GO:0032211","negative regulation of telomere maintenance via telomerase","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"PIF1",1
"GO:0036498","BP","GO:0036498","IRE1-mediated unfolded protein response","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"XBP1",1
"GO:0039692","BP","GO:0039692","single stranded viral RNA replication via double stranded DNA intermediate","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"TOP2A",1
"GO:0042985","BP","GO:0042985","negative regulation of amyloid precursor protein biosynthetic process","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"ITM2C",1
"GO:0045821","BP","GO:0045821","positive regulation of glycolytic process","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"IGF1",1
"GO:0046653","BP","GO:0046653","tetrahydrofolate metabolic process","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"TYMS",1
"GO:0046794","BP","GO:0046794","transport of virus","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"CAV1",1
"GO:0061050","BP","GO:0061050","regulation of cell growth involved in cardiac muscle cell development","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"IGF1",1
"GO:0062099","BP","GO:0062099","negative regulation of programmed necrotic cell death","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"CAV1",1
"GO:0071371","BP","GO:0071371","cellular response to gonadotropin stimulus","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"CCNA2",1
"GO:0090201","BP","GO:0090201","negative regulation of release of cytochrome c from mitochondria","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"IGF1",1
"GO:1903206","BP","GO:1903206","negative regulation of hydrogen peroxide-induced cell death","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"PYCR1",1
"GO:1903817","BP","GO:1903817","negative regulation of voltage-gated potassium channel activity","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"CAV1",1
"GO:1990182","BP","GO:1990182","exosomal secretion","1/117","20/18800",0.117432795870252,0.357188544712141,0.303281962833431,"SDC1",1
"GO:0032943","BP","GO:0032943","mononuclear cell proliferation","4/117","300/18800",0.11757537104593,0.357188544712141,0.303281962833431,"CD38/IGF1/MZB1/TNFRSF13B",4
"GO:0051047","BP","GO:0051047","positive regulation of secretion","4/117","300/18800",0.11757537104593,0.357188544712141,0.303281962833431,"CD38/IGF1/SDC1/XBP1",4
"GO:0032091","BP","GO:0032091","negative regulation of protein binding","2/117","96/18800",0.120300296561445,0.364264549292138,0.309290063008562,"AURKB/CAV1",2
"GO:0060419","BP","GO:0060419","heart growth","2/117","96/18800",0.120300296561445,0.364264549292138,0.309290063008562,"CDK1/IGF1",2
"GO:0032755","BP","GO:0032755","positive regulation of interleukin-6 production","2/117","97/18800",0.122355275601651,0.368593439537358,0.312965640934833,"POU2AF1/XBP1",2
"GO:0002902","BP","GO:0002902","regulation of B cell apoptotic process","1/117","21/18800",0.122931217749016,0.368593439537358,0.312965640934833,"AURKB",1
"GO:0033762","BP","GO:0033762","response to glucagon","1/117","21/18800",0.122931217749016,0.368593439537358,0.312965640934833,"CCNA2",1
"GO:0038083","BP","GO:0038083","peptidyl-tyrosine autophosphorylation","1/117","21/18800",0.122931217749016,0.368593439537358,0.312965640934833,"CAV1",1
"GO:0071731","BP","GO:0071731","response to nitric oxide","1/117","21/18800",0.122931217749016,0.368593439537358,0.312965640934833,"CCNA2",1
"GO:0097734","BP","GO:0097734","extracellular exosome biogenesis","1/117","21/18800",0.122931217749016,0.368593439537358,0.312965640934833,"SDC1",1
"GO:0042632","BP","GO:0042632","cholesterol homeostasis","2/117","98/18800",0.124418893508726,0.37184282946358,0.315724635783422,"CAV1/XBP1",2
"GO:0120162","BP","GO:0120162","positive regulation of cold-induced thermogenesis","2/117","98/18800",0.124418893508726,0.37184282946358,0.315724635783422,"CAV1/SCD",2
"GO:0055092","BP","GO:0055092","sterol homeostasis","2/117","99/18800",0.126490965668053,0.375118511237171,0.318505954536836,"CAV1/XBP1",2
"GO:1990830","BP","GO:1990830","cellular response to leukemia inhibitory factor","2/117","99/18800",0.126490965668053,0.375118511237171,0.318505954536836,"GLDC/MYBL2",2
"GO:0009416","BP","GO:0009416","response to light stimulus","4/117","310/18800",0.128193937460224,0.375118511237171,0.318505954536836,"AURKB/CHEK1/DTL/PBK",4
"GO:0006907","BP","GO:0006907","pinocytosis","1/117","22/18800",0.128395675255984,0.375118511237171,0.318505954536836,"CAV1",1
"GO:0007342","BP","GO:0007342","fusion of sperm to egg plasma membrane involved in single fertilization","1/117","22/18800",0.128395675255984,0.375118511237171,0.318505954536836,"SPACA3",1
"GO:0009129","BP","GO:0009129","pyrimidine nucleoside monophosphate metabolic process","1/117","22/18800",0.128395675255984,0.375118511237171,0.318505954536836,"TYMS",1
"GO:0032780","BP","GO:0032780","negative regulation of ATP-dependent activity","1/117","22/18800",0.128395675255984,0.375118511237171,0.318505954536836,"MCM2",1
"GO:0034104","BP","GO:0034104","negative regulation of tissue remodeling","1/117","22/18800",0.128395675255984,0.375118511237171,0.318505954536836,"CD38",1
"GO:0043486","BP","GO:0043486","histone exchange","1/117","22/18800",0.128395675255984,0.375118511237171,0.318505954536836,"HJURP",1
"GO:0044321","BP","GO:0044321","response to leptin","1/117","22/18800",0.128395675255984,0.375118511237171,0.318505954536836,"CCNA2",1
"GO:0061042","BP","GO:0061042","vascular wound healing","1/117","22/18800",0.128395675255984,0.375118511237171,0.318505954536836,"XBP1",1
